24K Magic;Bruno Mars;2
4 Minutes;Justin Timberlake;2
9 To 5;Dolly Parton;2
99 Luftballons;Nena;2
A Little Party Never Kill Nobody;Fergie;2
A Little Party Never Killed Nobody;Fergie;2
A Lovely Night;Ryan Gosling + Emma Stone;2
A Perfect Day;Susan Boyle;2
Abu Dhabi;Mikolas Josef;2
Acapulco;Jason Derulo;2
Ain't Your Mama;Jennifer Lopez;2
All About That Bass;Meghan Trainor;2
All I Ask of You;Emmy Rossum + Gerard Butler (The Phantom Of The Opera);2
All I Want For Christmas Is You;Marriah Carrey;2
All Night Long;Lionel Richie;2
All Of Me;John Legend;2
All That Jazz;Catherine Zeta-Jones;2
All The Good Girls Go To Hell;Billie Eilish;2
American Idiot;Green Day;2
American Woman;Lenny Kravitz;2
Amerika;Rammstein;2
An Angel;The Kelly Family;2
And I'm Telling You I'm Not Going;Jennifer Hudson;2
Andelská;Zuzana Navarová;2
Angels;Robbie Williams;2
Anywhere;Rita Ora;2
Are You Gonna Go My Way;Lenny Kravitz;2
At Last;Etta James;2
Atlantida;Miroslav Žbirka;2
Babooshka;Kate Bush;2
Baby Boy;Sean Paul (+Beyoncé);2
Baby One More Time;Britney Spears;2
Baby;Justin Bieber;2
Back to Black;Amy Winehouse;2
Bad Guy;Billie Eilish;2
Bad Romance;Lady Gaga;2
Bad;Michael Jackson;2
Baila Me;Gipsy Kings;2
Bailamos;Enrique Iglesias;2
Balada o poľných vtákoch;Miroslav Žbirka;2
Bamboléo;Gipsy Kings;2
Bang Bang (My Baby Shot Me Down);Nancy Sinatra;2
Barbie Girl;Aqua;2
Barcelona;Monserrat Caballé (Freddie Mercury);2
Basket Case;Green Day;2
Be Italian;Fergie;2
Beat It; Michael Jackson;2
Beautiful Girls;Sean Kingston;2
Beautiful Trauma;P!nk;2
Beauty and the Beast;Ariana Grande  John Legend;2
Because The Night;Patti Smith;2
Before You Go;Lewis Capaldi;2
Beggin' ;Måneskin;2
Believe;Cher;2
Big Spender;Shirley Bassey;2
Billie Jean;Michael Jackson;2
Bills;LunchMoney Lewis;2
Bird Set Free;Sia;2
Black Widow;Iggy Azalea, Rita Ora;2
Black or White;Michael Jackson;2
Blank Space;Taylor Swift;2
Blinding Lights;The Weeknd;2
Blue Suede Shoes;Elvis Presley;2
Blurred Lines;Robin Thicke (Pharrell Williams);2
Bohemian Rhapsody;Queen;2
Bomby;Ben Cristovao;2
Boombastic;Shaggy;2
Booty;Jennifer Lopez;2
Born This Way;Lady Gaga;2
Boty proti lásce;Yvonne Přenosilová;2
Bound To You;Christina Aguilera;2
Boys;Sabrina;2
Breathe;The Prodigy;2
Breathe;The Prodigy;2
Bring Me To Life;Evanescence;2
Bude mi lehká zem;Petr Hapka;2
Burlaci;Kabát;2
But I Am A Good Girl;Christina Aguilera;2
Bye Bye Baby;Marilyn Monroe;2
Báječná Ženská;Michal Tučný;2
Cabaret;Liza Minnelli;2
Call Me Maybe;Carly Rae Jepsen;2
Cambio Dolor;Natalia Oreiro;2
Can You Feel The Love Tonight;Elton John;2
Can't Feel My Face;The Weeknd;2
Can't Feel My Face;The Weeknd;2
Can't Get You Out Of My Head;Kylie Minogue;2
Can't Remember To Forget You;Rihanna (Shakira);2
Can't Stop The Feeling;Justin Timberlake;2
Can't Stop;Red Hot Chili Peppers;2
Cancion del Mariachi;Antonio Banderas;2
Candyman;Christina Aguilera;2
Cant Be Tamed;Miley Cyrus;2
Celebrity Skin;Hole;2
Cesta;Kryštof (Tomáš Klus);2
Chained To The Rhythm;Katy Perry;2
Champagne Showers;LMFAO;2
Chandelier;Sia;2
Chandelier;Sia;2
Chci zas v tobě spát;David Koller (Lucie);2
